DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;REDLIST
Andrena marginata;1;1;100,00000000000000;1;1;100,00000000000000;EN
Caenolyda reticulata;1;1;100,00000000000000;1;1;100,00000000000000;VU
Chalcis myrifex;1;1;100,00000000000000;1;1;100,00000000000000;EN
Cimbex fagi;2;2;100,00000000000000;2;2;100,00000000000000;VU
Megalodontes thor;1;1;100,00000000000000;1;1;100,00000000000000;EN
Pasites maculatus;1;1;100,00000000000000;1;1;100,00000000000000;RE
Rhadinoceraea micans;3;3;100,00000000000000;3;3;100,00000000000000;EN
Tetralonia malvae;2;2;100,00000000000000;2;2;100,00000000000000;VU
Xiphydria picta;1;1;100,00000000000000;1;1;100,00000000000000;EN
Anthophora quadrimaculata;3;2;66,66666666666666;3;2;66,66666666666666;EN
Xiphydria longicollis;3;2;66,66666666666666;3;2;66,66666666666666;EN
Megalodontes panzeri;8;5;62,50000000000000;8;5;62,50000000000000;EN
Cimbex quadrimaculatus;5;3;60,00000000000000;5;3;60,00000000000000;EN
Amegilla albigena;2;1;50,00000000000000;2;1;50,00000000000000;RE
Bombus ruderatus;10;5;50,00000000000000;10;5;50,00000000000000;CR
Chrysura hirsuta;2;1;50,00000000000000;2;1;50,00000000000000;VU
Corynis crassicornis;2;1;50,00000000000000;2;1;50,00000000000000;VU
Lasioglossum sexnotatum;2;1;50,00000000000000;2;1;50,00000000000000;EN
Megalodontes plagiocephalus;2;1;50,00000000000000;2;1;50,00000000000000;VU
Tenthredo marginella;4;2;50,00000000000000;5;2;40,00000000000000;VU
Xylocopa iris;5;2;40,00000000000000;5;2;40,00000000000000;CR
Osmia cornuta;48;17;35,41666666666667;65;23;35,38461538461539;EN
Anthophora retusa;3;1;33,33333333333333;3;1;33,33333333333333;CR
Andrena hattorfiana;46;17;36,95652173913043;56;18;32,14285714285715;EN
Andrena vaga;27;9;33,33333333333333;28;9;32,14285714285715;VU
Andrena agilissima;25;7;28,00000000000000;28;9;32,14285714285715;VU
Megachile lagopoda;8;2;25,00000000000000;8;2;25,00000000000000;EN
Nomada armata;4;1;25,00000000000000;4;1;25,00000000000000;EN
Symmorphus murarius;4;1;25,00000000000000;4;1;25,00000000000000;EN
Anthophora pubescens;4;1;25,00000000000000;5;1;20,00000000000000;VU
Ancistrocerus parietum;6;1;16,66666666666666;7;1;14,28571428571428;VU
Dioxys tridentata;8;1;12,50000000000000;8;1;12,50000000000000;VU
Myrmilla calva;22;3;13,63636363636363;26;3;11,53846153846154;VU
Messor structor;9;1;11,11111111111111;9;1;11,11111111111111;EN
Bombus wurflenii;8;1;12,50000000000000;10;1;10,00000000000000;VU
Bombus confusus;10;1;10,00000000000000;10;1;10,00000000000000;CR
Scolia sexmaculata;27;2;7,40740740740741;33;2;6,06060606060606;VU
Liometopum microcephalum;13;1;7,69230769230769;23;1;4,34782608695652;VU
Abia mutica;1;0;0,00000000000000;1;0;0,00000000000000;VU
Abia nitens;2;0;0,00000000000000;2;0;0,00000000000000;VU
Agenioideus nubecula;5;0;0,00000000000000;5;0;0,00000000000000;VU
Aglaostigma lichtwardti;1;0;0,00000000000000;1;0;0,00000000000000;VU
Allodynerus rossii;2;0;0,00000000000000;2;0;0,00000000000000;VU
Ammophila campestris;9;0;0,00000000000000;9;0;0,00000000000000;VU
Ancistrocerus antilope;3;0;0,00000000000000;3;0;0,00000000000000;EN
Ancistrocerus dusmetiolus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Ancistrocerus renimacula;2;0;0,00000000000000;2;0;0,00000000000000;VU
Andrena aeneiventris;3;0;0,00000000000000;4;0;0,00000000000000;RE
Andrena chrysopyga;3;0;0,00000000000000;3;0;0,00000000000000;VU
Andrena coitana;4;0;0,00000000000000;4;0;0,00000000000000;RE
Andrena combinata;3;0;0,00000000000000;3;0;0,00000000000000;EN
Andrena curvungula;4;0;0,00000000000000;4;0;0,00000000000000;VU
Andrena decipiens;1;0;0,00000000000000;1;0;0,00000000000000;CR
Andrena distinguenda;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena ferox;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena florea;2;0;0,00000000000000;2;0;0,00000000000000;VU
Andrena floricola;2;0;0,00000000000000;2;0;0,00000000000000;VU
Andrena impunctata;3;0;0,00000000000000;3;0;0,00000000000000;VU
Andrena morawitzi;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena nigriceps;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena paucisquama;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena potentillae;5;0;0,00000000000000;5;0;0,00000000000000;VU
Andrena rosae;6;0;0,00000000000000;6;0;0,00000000000000;CR
Andrena rufizona;1;0;0,00000000000000;1;0;0,00000000000000;CR
Andrena semilaevis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena suerinensis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena susterai;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena symphyti;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena tarsata;2;0;0,00000000000000;2;0;0,00000000000000;VU
Andrena tscheki;1;0;0,00000000000000;1;0;0,00000000000000;VU
Antepipona deflenda;1;0;0,00000000000000;1;0;0,00000000000000;RE
Antepipona orbitalis;3;0;0,00000000000000;4;0;0,00000000000000;EN
Anthidium septemspinosum;1;0;0,00000000000000;1;0;0,00000000000000;VU
Anthocopa villosa;3;0;0,00000000000000;3;0;0,00000000000000;VU
Anthophora crinipes;1;0;0,00000000000000;1;0;0,00000000000000;RE
Aporinellus sexmaculatus;3;0;0,00000000000000;4;0;0,00000000000000;EN
Arachnospila gibbomima;1;0;0,00000000000000;1;0;0,00000000000000;RE
Arachnospila rufa;1;0;0,00000000000000;1;0;0,00000000000000;VU
Arachnospila wesmaeli;4;0;0,00000000000000;4;0;0,00000000000000;CR
Astata kashmirensis;2;0;0,00000000000000;2;0;0,00000000000000;VU
Belomicrus italicus;4;0;0,00000000000000;4;0;0,00000000000000;EN
Bembecinus hungaricus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Bembix rostrata;3;0;0,00000000000000;4;0;0,00000000000000;EN
Bembix tarsata;10;0;0,00000000000000;13;0;0,00000000000000;EN
Biastes brevicornis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Bombus distinguendus;6;0;0,00000000000000;6;0;0,00000000000000;EN
Bombus jonellus;17;0;0,00000000000000;27;0;0,00000000000000;VU
Bombus muscorum;3;0;0,00000000000000;3;0;0,00000000000000;CR
Bombus norvegicus;3;0;0,00000000000000;3;0;0,00000000000000;VU
Bombus subterraneus;8;0;0,00000000000000;8;0;0,00000000000000;EN
Bombus veteranus;5;0;0,00000000000000;5;0;0,00000000000000;CR
Camptopoeum frontale;2;0;0,00000000000000;2;0;0,00000000000000;EN
Cephus pulcher;2;0;0,00000000000000;2;0;0,00000000000000;EN
Cerceris hortivaga;1;0;0,00000000000000;1;0;0,00000000000000;CR
Cerceris interrupta;1;0;0,00000000000000;1;0;0,00000000000000;CR
Cerceris quadricincta;2;0;0,00000000000000;2;0;0,00000000000000;CR
Cerceris ruficornis;1;0;0,00000000000000;1;0;0,00000000000000;CR
Ceropales variegata;3;0;0,00000000000000;4;0;0,00000000000000;CR
Ceylalictus variegatus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Chalicodoma parietina;2;0;0,00000000000000;4;0;0,00000000000000;CR
Chrysis subsinuata;1;0;0,00000000000000;1;0;0,00000000000000;VU
Chrysura radians;3;0;0,00000000000000;3;0;0,00000000000000;EN
Chrysura simplex;5;0;0,00000000000000;6;0;0,00000000000000;VU
Coelioxys conoidea;3;0;0,00000000000000;3;0;0,00000000000000;VU
Coelioxys echinata;3;0;0,00000000000000;3;0;0,00000000000000;EN
Coelioxys elongata;3;0;0,00000000000000;3;0;0,00000000000000;VU
Colletes inexpectatus;1;0;0,00000000000000;1;0;0,00000000000000;RE
Colletes marginatus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Colletes succinctus;2;0;0,00000000000000;2;0;0,00000000000000;EN
Corynis obscura;2;0;0,00000000000000;2;0;0,00000000000000;VU
Crossocerus capitosus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Crossocerus denticoxa;1;0;0,00000000000000;1;0;0,00000000000000;RE
Crossocerus heydeni;1;0;0,00000000000000;1;0;0,00000000000000;EN
Crossocerus vagabundus;4;0;0,00000000000000;4;0;0,00000000000000;VU
Crossocerus walkeri;2;0;0,00000000000000;2;0;0,00000000000000;VU
Cryptocheilus variabilis;2;0;0,00000000000000;4;0;0,00000000000000;CR
Dasylabris maura;2;0;0,00000000000000;2;0;0,00000000000000;CR
Dasylabris regalis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Dasypoda argentata;1;0;0,00000000000000;1;0;0,00000000000000;CR
Didineis crassicornis;5;0;0,00000000000000;5;0;0,00000000000000;VU
Dipogon austriacus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Dipogon vechti;2;0;0,00000000000000;2;0;0,00000000000000;EN
Dolerus pachycerus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Dolichovespula norwegica;12;0;0,00000000000000;18;0;0,00000000000000;VU
Dolichovespula omissa;1;0;0,00000000000000;1;0;0,00000000000000;VU
Dryudella lineata;1;0;0,00000000000000;1;0;0,00000000000000;VU
Dryudella tricolor;1;0;0,00000000000000;1;0;0,00000000000000;VU
Dufourea dentiventris;5;0;0,00000000000000;5;0;0,00000000000000;EN
Ectemnius fossorius;5;0;0,00000000000000;5;0;0,00000000000000;VU
Ectemnius guttatus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Ectemnius lituratus;5;0;0,00000000000000;5;0;0,00000000000000;VU
Ectemnius nigritarsus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Ectemnius rugifer;1;0;0,00000000000000;1;0;0,00000000000000;EN
Epeolus cruciger;1;0;0,00000000000000;1;0;0,00000000000000;EN
Episyron arrogans;6;0;0,00000000000000;6;0;0,00000000000000;VU
Eucharis adscendens;3;0;0,00000000000000;3;0;0,00000000000000;VU
Eumenes pomiformis;4;0;0,00000000000000;5;0;0,00000000000000;VU
Eumenes sareptanus insolatus;2;0;0,00000000000000;2;0;0,00000000000000;CR
Evagetes littoralis;8;0;0,00000000000000;8;0;0,00000000000000;EN
Evagetes siculus;3;0;0,00000000000000;3;0;0,00000000000000;EN
Evagetes subglaber;3;0;0,00000000000000;3;0;0,00000000000000;VU
Evagetes tumidosus;1;0;0,00000000000000;1;0;0,00000000000000;RE
Formica exsecta;3;0;0,00000000000000;3;0;0,00000000000000;CR
Formica foreli;3;0;0,00000000000000;3;0;0,00000000000000;CR
Formica picea;26;0;0,00000000000000;37;0;0,00000000000000;VU
Gorytes quadrifasciatus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Gorytes quinquecinctus;5;0;0,00000000000000;6;0;0,00000000000000;VU
Halictus pollinosus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Halictus seladonius;6;0;0,00000000000000;6;0;0,00000000000000;RE
Halictus semitectus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Harpactus moravicus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Harpactus sareptanus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Hoplitis ravouxi;1;0;0,00000000000000;1;0;0,00000000000000;VU
Hylaeus annulatus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Hylaeus cardioscapus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Hylaeus duckei;1;0;0,00000000000000;1;0;0,00000000000000;EN
Hylaeus gibbus;4;0;0,00000000000000;4;0;0,00000000000000;VU
Hylaeus imparilis;1;0;0,00000000000000;1;0;0,00000000000000;RE
Hylaeus pictipes;1;0;0,00000000000000;1;0;0,00000000000000;VU
Hylaeus punctulatissimus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Lasioglossum bluethgeni;3;0;0,00000000000000;4;0;0,00000000000000;VU
Lasioglossum brevicorne;2;0;0,00000000000000;2;0;0,00000000000000;VU
Lasioglossum buccale;1;0;0,00000000000000;1;0;0,00000000000000;EN
Lasioglossum convexiusculum;2;0;0,00000000000000;2;0;0,00000000000000;EN
Lasioglossum corvinum;1;0;0,00000000000000;1;0;0,00000000000000;VU
Lasioglossum costulatum;2;0;0,00000000000000;2;0;0,00000000000000;EN
Lasioglossum discum;3;0;0,00000000000000;3;0;0,00000000000000;VU
Lasioglossum lineare;1;0;0,00000000000000;1;0;0,00000000000000;VU
Lasioglossum marginellum;1;0;0,00000000000000;1;0;0,00000000000000;EN
Lasioglossum nigripes;1;0;0,00000000000000;1;0;0,00000000000000;VU
Lasioglossum puncticolle;2;0;0,00000000000000;2;0;0,00000000000000;EN
Lasioglossum tricinctum;4;0;0,00000000000000;5;0;0,00000000000000;VU
Lasius austriacus;2;0;0,00000000000000;2;0;0,00000000000000;CR
Leptochilus alpestris;1;0;0,00000000000000;1;0;0,00000000000000;VU
Lestica alata;8;0;0,00000000000000;8;0;0,00000000000000;EN
Lestica subterranea;5;0;0,00000000000000;5;0;0,00000000000000;VU
Leucospis dorsigera;1;0;0,00000000000000;1;0;0,00000000000000;VU
Lithurgus cornutus;3;0;0,00000000000000;5;0;0,00000000000000;CR
Megachile apicalis;4;0;0,00000000000000;5;0;0,00000000000000;EN
Megachile leachella;2;0;0,00000000000000;2;0;0,00000000000000;EN
Megachile pyrenaea;4;0;0,00000000000000;4;0;0,00000000000000;CR
Megalodontes fabricii;1;0;0,00000000000000;1;0;0,00000000000000;EN
Megalodontes flavicornis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Melecta luctuosa;7;0;0,00000000000000;7;0;0,00000000000000;EN
Meria tripunctata;3;0;0,00000000000000;3;0;0,00000000000000;EN
Mimesa bicolor;2;0;0,00000000000000;2;0;0,00000000000000;CR
Mimesa equestris;5;0;0,00000000000000;5;0;0,00000000000000;VU
Mimesa lutaria;2;0;0,00000000000000;2;0;0,00000000000000;VU
Mutilla europaea;5;0;0,00000000000000;5;0;0,00000000000000;CR
Myrmica lobicornis;11;0;0,00000000000000;12;0;0,00000000000000;CR
Nanoclavelia leucoptera;3;0;0,00000000000000;3;0;0,00000000000000;CR
Nomada braunsiana;4;0;0,00000000000000;4;0;0,00000000000000;EN
Nomada distinguenda;2;0;0,00000000000000;3;0;0,00000000000000;CR
Nomada emarginata;2;0;0,00000000000000;2;0;0,00000000000000;CR
Nomada errans;1;0;0,00000000000000;1;0;0,00000000000000;CR
Nomada femoralis;3;0;0,00000000000000;3;0;0,00000000000000;VU
Nomada mutica;1;0;0,00000000000000;1;0;0,00000000000000;CR
Nomada obtusifrons;1;0;0,00000000000000;1;0;0,00000000000000;RE
Nomada piccioliana;2;0;0,00000000000000;2;0;0,00000000000000;VU
Nomada rufipes;10;0;0,00000000000000;10;0;0,00000000000000;VU
Nomada sexfasciata;3;0;0,00000000000000;3;0;0,00000000000000;VU
Nomada similis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Nomada villosa;2;0;0,00000000000000;3;0;0,00000000000000;EN
Nomioides minutissimus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Nysson hrubanti;1;0;0,00000000000000;1;0;0,00000000000000;VU
Nysson interruptus;1;0;0,00000000000000;1;0;0,00000000000000;RE
Odynerus reniformis;4;0;0,00000000000000;4;0;0,00000000000000;VU
Orussus abietinus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Osmia cerinthidis;1;0;0,00000000000000;1;0;0,00000000000000;CR
Osmia melanogaster;2;0;0,00000000000000;2;0;0,00000000000000;CR
Osmia nigriventris;3;0;0,00000000000000;4;0;0,00000000000000;VU
Osmia niveata;1;0;0,00000000000000;1;0;0,00000000000000;CR
Osmia parietina;3;0;0,00000000000000;3;0;0,00000000000000;VU
Oxybelus mandibularis;3;0;0,00000000000000;3;0;0,00000000000000;VU
Oxybelus mucronatus;3;0;0,00000000000000;3;0;0,00000000000000;VU
Palarus variegatus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Paracharactus gracilicornis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Paramyrmosa brunnipes;4;0;0,00000000000000;4;0;0,00000000000000;EN
Parnopes grandior;1;0;0,00000000000000;1;0;0,00000000000000;RE
Pemphredon clypealis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Pemphredon mortifer;2;0;0,00000000000000;2;0;0,00000000000000;VU
Philoctetes truncatus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Physetopoda daghestanica;3;0;0,00000000000000;3;0;0,00000000000000;EN
Physetopoda scutellaris;2;0;0,00000000000000;2;0;0,00000000000000;VU
Podagrion pachymerum;2;0;0,00000000000000;2;0;0,00000000000000;CR
Priocnemis agilis;6;0;0,00000000000000;8;0;0,00000000000000;VU
Priocnemis fastigiata;1;0;0,00000000000000;1;0;0,00000000000000;RE
Priocnemis hankoi;1;0;0,00000000000000;1;0;0,00000000000000;CR
Priocnemis susterai;1;0;0,00000000000000;1;0;0,00000000000000;RE
Psen ater;2;0;0,00000000000000;2;0;0,00000000000000;CR
Pseudospinolia uniformis;1;0;0,00000000000000;1;0;0,00000000000000;RE
Pterocheilus phaleratus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Rhadinoceraea reitteri;1;0;0,00000000000000;1;0;0,00000000000000;EN
Rhophitoides canus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Rophites algirus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Rophites hartmanni;2;0;0,00000000000000;2;0;0,00000000000000;EN
